MOZSPEC,Savanna,Boreal,TropFor,TempFor,Shrub,Crop
APIN,0.008886664,0.258622858,0.000000000,0.261349698,0.052892787,0.010378073
BENZENE,0.144348341,0.290406444,0.000000000,0.253023122,0.441846231,0.090682745
BIGALK,0.155507618,1.821065063,0.219391630,0.415371817,0.644371162,0.245586476
BIGENE,1.467441360,0.626624939,0.662177247,1.392868346,1.273768354,0.673718870
BPIN,0.000000000,0.209045527,0.000000000,0.008355040,0.004478357,0.000000000
BZALD,0.790735428,0.165536418,0.120394787,0.298407625,0.272309361,0.324947990
C2H2,2.103370835,1.167448156,0.671555549,2.512999054,1.975365273,1.700663760
C2H4,1.218427965,1.407302413,1.504511397,1.930185084,2.886367973,1.411779583
C2H6,0.859400970,1.168312776,0.939166319,0.611117720,0.640701462,0.673267614
C3H6,0.647451923,0.498618894,0.602870543,0.487395995,0.557038255,0.456791245
C3H8,0.090107103,0.194327674,0.113965824,0.149168434,0.561167760,0.142262448
CH2O,1.532139936,1.361279525,2.299442893,2.180970272,2.285150936,1.716186973
CH3CH2OH,0.000000000,0.023180708,0.000000000,0.066343173,0.055061339,0.000000000
CH3CHO,1.037205345,0.415848841,1.404327799,0.758069403,0.791858458,0.928813776
CH3CN,0.116534416,0.176115266,0.398627635,0.087534746,0.129979147,0.141895633
CH3COCH3,0.201156213,0.241785338,0.432958246,0.297358364,0.241837735,0.162227481
CH3COOH,2.371460245,1.360179513,2.029162090,1.292089189,1.352735727,2.348769850
CH3OH,1.450875764,1.608214335,3.030722569,1.744297752,1.650322587,2.327591208
CRESOL,0.059143606,0.039595218,0.000000000,0.059297268,0.058124827,0.073502182
GLYALD,0.389772359,0.233469495,1.886040333,0.210406365,0.128011966,0.800153086
HCN,0.558679801,0.846000257,0.625165516,0.684070809,0.927261790,0.416155799
HCOOH,0.205606587,0.253955258,0.682895976,0.258677083,0.134358235,0.425964178
HONO,0.298094573,0.227695824,1.001428816,0.325739781,0.643162425,0.186970140
HYAC,0.308910158,0.148899724,0.608803094,0.222990229,0.118339287,1.547542970
ISOP,0.069436642,0.085324229,0.028760094,0.128738186,0.138232600,0.062106882
LIMON,0.000000000,0.000000000,0.000000000,0.157649373,0.012565328,0.000000000
MACR,0.000000000,0.024265740,0.221947995,0.112846177,0.146991948,0.000000000
MEK,0.370111274,0.104137210,0.665954427,0.273985368,0.285978503,0.386720488
MGLY,0.347312619,0.090263312,0.000000000,0.135177124,0.094263808,0.171132673
MVK,0.317318045,0.087222815,0.222102282,0.247258837,0.301158077,0.192803177
MYRC,0.000000000,0.000000000,0.000000000,0.002161031,0.003434530,0.000000000
PHENOL,0.471624260,0.516624246,0.190869493,0.345236785,0.457094229,0.408464655
TOLUENE,0.456574624,1.327377626,0.768739249,0.604655023,0.531173337,0.374739109
XYLENE,0.384924966,0.237737046,0.040078411,0.422023246,0.354901612,0.294757095
XYLOL,0.108126703,0.056428413,0.000000000,0.087804270,0.046180468,0.130160305
