polyid,fireid,cen_lon,cen_lat,acq_date_lst,area_sqkm,v_lct,f_lct,v_tree,v_herb,v_bare,v_regnum
1,1,-118.203668881783,39.1346844717616,2017-07-13,2.3887098052578,10,0.117647058823529,0.0117647058823529,40.5529411764706,59.6705882352941,1
1,1,-118.203668881783,39.1346844717616,2017-07-13,2.3887098052578,7,0.882352941176471,0.0117647058823529,40.5529411764706,59.6705882352941,1
2,1,-118.196354005198,39.0972035344731,2017-07-13,1.35338939940739,7,0.647058823529412,0,26.8823529411765,73.3333333333333,1
2,1,-118.196354005198,39.0972035344731,2017-07-13,1.35338939940739,10,0.352941176470588,0,26.8823529411765,73.3333333333333,1
3,1,-118.198880110667,39.1086787285636,2017-07-13,1.60702077112389,10,1,0.116666666666667,32.2833333333333,67.9,1
4,1,-118.200535452411,39.121494652338,2017-07-13,1.56515794722843,10,0.576271186440678,0.0847457627118644,39.0847457627119,61.1694915254237,1
4,1,-118.200535452411,39.121494652338,2017-07-13,1.56515794722843,7,0.423728813559322,0.0847457627118644,39.0847457627119,61.1694915254237,1
5,1,-118.220475525648,39.1432071336859,2017-07-13,2.04629278853154,10,0.0921052631578947,0,37.3947368421053,63.0263157894737,1
5,1,-118.220475525648,39.1432071336859,2017-07-13,2.04629278853154,7,0.907894736842105,0,37.3947368421053,63.0263157894737,1
6,1,-118.186120812238,39.1385841664902,2017-07-13,2.21744142027235,7,0.558139534883721,0.0581395348837209,38.7558139534884,61.5116279069767,1
6,1,-118.186120812238,39.1385841664902,2017-07-13,2.21744142027235,10,0.441860465116279,0.0581395348837209,38.7558139534884,61.5116279069767,1
7,1,-118.203489111373,39.1465187201569,2017-07-13,2.25872041637528,10,0.117647058823529,0.0588235294117647,38.3882352941176,61.8352941176471,1
7,1,-118.203489111373,39.1465187201569,2017-07-13,2.25872041637528,7,0.882352941176471,0.0588235294117647,38.3882352941176,61.8352941176471,1
8,10,-118.172804143964,39.2145269518463,2017-07-13,2.38649817870539,7,0.0769230769230769,0.802197802197802,53.7472527472527,45.9450549450549,1
8,10,-118.172804143964,39.2145269518463,2017-07-13,2.38649817870539,10,0.923076923076923,0.802197802197802,53.7472527472527,45.9450549450549,1
