polyid,fireid,cen_lon,cen_lat,acq_date_lst,area_sqkm,alg_agg,v_lct,f_lct,v_tree,v_herb,v_bare,v_regnum,v_frp
1,4,-118.20400010507458,39.13450001918122,2017-07-13,1.8526849103913308,2,7,0.8732394366197183,0,40.394366197183096,59.605633802816904,1,28.083333333333332
1,4,-118.20400010507458,39.13450001918122,2017-07-13,1.8526849103913308,2,10,0.1267605633802817,0,40.394366197183096,59.605633802816904,1,28.083333333333332
2,5,-118.20400007366408,39.147000008771656,2017-07-13,1.7413069937086105,2,7,0.873015873015873,0.015873015873015872,38.12698412698413,61.857142857142854,1,14.08125
2,5,-118.20400007366408,39.147000008771656,2017-07-13,1.7413069937086105,2,10,0.12698412698412698,0.015873015873015872,38.12698412698413,61.857142857142854,1,14.08125
3,12,-118.15600007396077,39.22900000880038,2017-07-13,1.7407359019403457,2,10,1,0.6197183098591549,51.63380281690141,47.732394366197184,1,68.40303030303032
4,13,-118.17600010555104,39.22750001925202,2017-07-13,1.8520396868662834,2,7,0.5362318840579711,0.08695652173913043,43.55072463768116,56.36231884057971,1,40.06000000000001
4,13,-118.17600010555104,39.22750001925202,2017-07-13,1.8520396868662834,2,10,0.43478260869565216,0.08695652173913043,43.55072463768116,56.36231884057971,1,40.06000000000001
4,13,-118.17600010555104,39.22750001925202,2017-07-13,1.8520396868662834,2,16,0.028985507246376812,0.08695652173913043,43.55072463768116,56.36231884057971,1,40.06000000000001
5,15,-118.155000105623,39.2415000192627,2017-07-13,1.851942438231945,2,10,0.9230769230769231,0.5076923076923077,46.93846153846154,52.52307692307692,1,15.151612903225802
5,15,-118.155000105623,39.2415000192627,2017-07-13,1.851942438231945,2,7,0.07692307692307693,0.5076923076923077,46.93846153846154,52.52307692307692,1,15.151612903225802
6,19,-119.9425,40.00000000000001,2017-07-13,1.5979589799423217,2,10,1,1.5909090909090908,61.06060606060606,37.378787878787875,1,24.330555555555556
7,20,-119.96249999999999,39.99799999999999,2017-07-13,1.597975725200653,2,10,1,1.490909090909091,68.01818181818182,30.436363636363637,1,18.09310344827586
8,2,-118.19900000000001,39.109,2017-07-13,1.0008582034130096,2,10,1,0.02857142857142857,32.34285714285714,67.62857142857143,1,21.96428571428571
9,6,-118.22299999999998,39.144,2017-07-13,1.000866239165306,2,7,1,0,36.457142857142856,63.542857142857144,1,19.882499999999986
10,7,-118.18300000000002,39.138,2017-07-13,1.0008648614549638,2,7,0.6,0,38.42857142857143,61.57142857142857,1,24.970000000000002
10,7,-118.18300000000002,39.138,2017-07-13,1.0008648614549638,2,10,0.4,0,38.42857142857143,61.57142857142857,1,24.970000000000002
11,3,-118.20100000000001,39.121,2017-07-13,1.0008609582881927,2,10,0.6857142857142857,0,39.17142857142857,60.82857142857143,1,12.04814814814815
11,3,-118.20100000000001,39.121,2017-07-13,1.0008609582881927,2,7,0.3142857142857143,0,39.17142857142857,60.82857142857143,1,12.04814814814815
12,1,-118.19600000000001,39.096,2017-07-13,1.000855219247818,2,7,0.5714285714285714,0,27.02857142857143,72.97142857142858,1,24.454285714285707
12,1,-118.19600000000001,39.096,2017-07-13,1.000855219247818,2,10,0.42857142857142855,0,27.02857142857143,72.97142857142858,1,24.454285714285707
13,11,-118.173,39.213,2017-07-13,1.0008820873098374,2,10,0.9428571428571428,0.5714285714285714,56.142857142857146,43.34285714285714,1,37.957692307692305
13,11,-118.173,39.213,2017-07-13,1.0008820873098374,2,7,0.05714285714285714,0.5714285714285714,56.142857142857146,43.34285714285714,1,37.957692307692305
14,10,-118.152,39.215,2017-07-13,1.0008825467996598,2,10,1,0.6904761904761905,50.714285714285715,48.595238095238095,1,38.856
15,14,-118.19300000000001,39.224,2017-07-13,1.0008846145849228,2,16,0.8857142857142857,0,35.628571428571426,64.37142857142857,1,43.40000000000001
