polyid,fireid,cen_lon,cen_lat,acq_date_lst,area_sqkm,alg_agg,v_lct,f_lct,v_tree,v_herb,v_bare,v_regnum
1,12,-118.156000073961,39.2290000088004,2017-07-13,1.74073590194035,2,10,1,0.76056338028169,51.0845070422535,48.5211267605634,1
2,5,-118.204000073664,39.1470000087717,2017-07-13,1.74130699370861,2,7,0.873015873015873,0.0158730158730159,38.1428571428571,62.031746031746,1
2,5,-118.204000073664,39.1470000087717,2017-07-13,1.74130699370861,2,10,0.126984126984127,0.0158730158730159,38.1428571428571,62.031746031746,1
3,20,-119.9625,39.998,2017-07-13,1.59797572520065,2,10,1,1.78181818181818,68.2909090909091,30.4,1
4,4,-118.204000105075,39.1345000191812,2017-07-13,1.85268491039085,2,7,0.873239436619718,0.028169014084507,40.7042253521127,59.5070422535211,1
4,4,-118.204000105075,39.1345000191812,2017-07-13,1.85268491039085,2,10,0.126760563380282,0.028169014084507,40.7042253521127,59.5070422535211,1
5,15,-118.155000105623,39.2415000192627,2017-07-13,1.85194243823242,2,10,0.923076923076923,0.661538461538462,47.6461538461538,52.2461538461538,1
5,15,-118.155000105623,39.2415000192627,2017-07-13,1.85194243823242,2,7,0.0769230769230769,0.661538461538462,47.6461538461538,52.2461538461538,1
6,19,-119.9425,40,2017-07-13,1.59795897994232,2,10,1,1.77272727272727,62.0606060606061,36.7878787878788,1
7,13,-118.176000105551,39.227500019252,2017-07-13,1.85203968686676,2,7,0.536231884057971,0.072463768115942,42.5507246376812,57.7246376811594,1
7,13,-118.176000105551,39.227500019252,2017-07-13,1.85203968686676,2,10,0.434782608695652,0.072463768115942,42.5507246376812,57.7246376811594,1
7,13,-118.176000105551,39.227500019252,2017-07-13,1.85203968686676,2,16,0.0289855072463768,0.072463768115942,42.5507246376812,57.7246376811594,1
8,11,-118.173,39.213,2017-07-13,1.00088208730984,2,10,0.942857142857143,0.628571428571429,55.8857142857143,43.8857142857143,1
8,11,-118.173,39.213,2017-07-13,1.00088208730984,2,7,0.0571428571428571,0.628571428571429,55.8857142857143,43.8857142857143,1
9,10,-118.152,39.215,2017-07-13,1.00088254679966,2,10,1,0.880952380952381,51,48.5476190476191,1
10,14,-118.193,39.224,2017-07-13,1.00088461458492,2,16,0.885714285714286,0,35.1428571428571,65.2285714285714,1
10,14,-118.193,39.224,2017-07-13,1.00088461458492,2,10,0.0857142857142857,0,35.1428571428571,65.2285714285714,1
10,14,-118.193,39.224,2017-07-13,1.00088461458492,2,7,0.0285714285714286,0,35.1428571428571,65.2285714285714,1
11,23,-119.948,40.011,2017-07-13,1.00106594664383,2,10,1,2.74285714285714,64.2285714285714,33.5428571428571,1
12,24,-120.028,40.026,2017-07-13,1.00106941222668,2,10,1,3.08571428571429,59.0285714285714,38.2857142857143,1
13,26,-120.046,40.036,2017-07-13,1.00107172280598,2,10,1,1.94285714285714,59.8857142857143,38.7142857142857,1
14,25,-120.029,40.037,2017-07-13,1.00107195387268,2,10,1,2.77142857142857,64.8,32.9714285714286,1
15,2,-118.199,39.109,2017-07-13,1.00085820341301,2,10,1,0.142857142857143,33.4857142857143,66.6571428571429,1
16,6,-118.223,39.144,2017-07-13,1.00086623916531,2,7,1,0,36.8,63.6285714285714,1
17,7,-118.183,39.138,2017-07-13,1.00086486145496,2,7,0.6,0,38.6,61.7142857142857,1
17,7,-118.183,39.138,2017-07-13,1.00086486145496,2,10,0.4,0,38.6,61.7142857142857,1
18,3,-118.201,39.121,2017-07-13,1.00086095828819,2,10,0.685714285714286,0,39.4,60.8857142857143,1
18,3,-118.201,39.121,2017-07-13,1.00086095828819,2,7,0.314285714285714,0,39.4,60.8857142857143,1
19,1,-118.196,39.096,2017-07-13,1.00085521924782,2,7,0.571428571428571,0,27.2,73.0571428571429,1
19,1,-118.196,39.096,2017-07-13,1.00085521924782,2,10,0.428571428571429,0,27.2,73.0571428571429,1
20,27,-120.028339813066,40.0199936976587,2017-07-14,0.830045430172443,2,10,1,2.76470588235294,56.4411764705882,41.3823529411765,1
21,27,-120.014103998947,40.0131016430466,2017-07-14,0.581682308553457,2,10,1,2.15,49.5,48.95,1
22,27,-120.023002790014,40.0099545058251,2017-07-14,1.56600164310485,2,10,1,1.9672131147541,47.2459016393443,51.2950819672131,1
23,27,-120.029365289775,40.0308751598405,2017-07-14,0.892360830385327,2,10,1,3.02702702702703,62.4054054054054,35.027027027027,1
24,27,-120.020425670694,40.0230688513066,2017-07-14,0.859349682843685,2,10,1,3.06451612903226,58.5161290322581,38.8064516129032,1
25,27,-120.035938296701,40.0232604192351,2017-07-14,0.733899438140154,2,10,1,1.53846153846154,57.8846153846154,41.1153846153846,1
26,27,-120.043185605277,40.0331577836433,2017-07-14,0.812065608611107,2,10,1,1.74193548387097,60.1290322580645,38.5806451612903,1
27,27,-120.045888605111,40.02800867902,2017-07-14,0.697704378809333,2,10,1,1.52,59.76,39.12,1
28,29,-119.937937388059,39.9924110241896,2017-07-14,0.728437760335445,2,10,1,0.814814814814815,56.7037037037037,43.037037037037,1
29,29,-119.954560581074,39.9977602331461,2017-07-14,0.81007387302649,2,10,1,1.6875,68.96875,29.84375,1
30,29,-119.953570994168,40.0051219070732,2017-07-14,0.466111172753811,2,10,1,2.1,69.5,29.2,1
31,29,-119.946489960984,39.9978536365842,2017-07-14,0.80191193962431,2,10,1,1.16666666666667,59.9333333333333,39.5,1
32,29,-119.929485986837,39.9873229953205,2017-07-14,1.01908231003284,2,10,1,0.351351351351351,55.3783783783784,44.6756756756757,1
33,30,-118.222034691416,39.0972604993306,2017-07-14,1.78397291711712,2,10,0.712121212121212,0,27.7121212121212,72.7424242424242,1
33,30,-118.222034691416,39.0972604993306,2017-07-14,1.78397291711712,2,7,0.287878787878788,0,27.7121212121212,72.7424242424242,1
34,30,-118.189568852517,39.0864010343244,2017-07-14,1.56360728968811,2,10,0.741379310344828,0,31.0172413793103,69.2586206896552,1
34,30,-118.189568852517,39.0864010343244,2017-07-14,1.56360728968811,2,7,0.258620689655172,0,31.0172413793103,69.2586206896552,1
35,30,-118.229231563826,39.1059910151183,2017-07-14,2.05578725360394,2,10,0.533333333333333,0.16,32.04,68.0266666666667,1
