Emission Factors (g-compound / kg-biomass) from Updated_EFs_02042019.csv (for base species); MW=1 for aerosols and lumped species
GenVegType,GenVegDescript,CO2,CO,CH4,NMOC,H2,NOXasNO,SO2,PM25,TPM,TPC,OC,BC,NH3,NO,NO2,NMHC,PM10
0,MolecularWeight,44,28,16,1,2,1,64,1,1,1,1,1,17,30,46,1,1
1,SavannaGrasslands,1686,63,2,28.2,1.7,3.9,0.9,7.17,8.3,3,2.6,0.37,0.56,2.16,3.22,3.4,7.2
2,WoodySavanna,1681,67,3,24.8,0.97,3.645,0.68,7.1,15.4,7.1,3.7,1.31,1.2,0.77,2.58,3.4,11.4
3,TropicalForest,1643,93,5.1,51.9,3.4,2.6,0.4,9.9,18.5,5.2,4.7,0.52,1.3,0.9,3.6,1.7,18.5
4,TemperateForest,1510,122,5.61,56,2.03,1.04,1.1,15,18,9.7,7.6,0.56,2.47,0.95,2.34,5.7,16.97
5,Boreal,1565,111,6,48.5,2.3,0.95,1,18.4,18.4,8.3,7.8,0.2,1.8,0.83,0.63,5.7,18.4
6,TemperateEvergreenForest,1623,112,3.4,49.3,2,1.96,1.1,17.9,18,9.7,7.6,0.56,1.17,0.95,2.34,5.7,18.4
9,Crops,1444,91,5.82,51.4,2.59,2.43,0.4,6.43,13,4,2.66,0.51,2.12,1.18,2.99,7,7.02
