Fraction of NMOC for GEOSCHEM for each GenVeg,,,,,,,,,,,,,,,,,,,
GenVegIndex,EF_fuel_type,ACET,ALD2,ALK4,BENZ,C2H2,C2H4,C2H6,C3H8,CH2O,GLYC,GLYX,HAC,MEK,MGLY,PRPE,TOLU,XYLE,NO
1,Savanna,0.22,1.21,5.03,0.2,0.72,2.27,0.82,0.18,2.12,0.5,0,1.01,1.38,0.81,1.07,0.96,0.01,0.38
2,Shrub,0.7,1.13,5.21,0.29,0.64,2.39,0.99,0.36,2.43,0.08,0,0,1.21,0.84,1.63,1.15,0.03,0.48
3,TropFor,0.39,1.96,4.07,0.18,0.36,1.38,0.82,0.1,2.08,0.79,0,0.55,1.04,0.37,1.92,1.03,0.04,0.74
4,TempFor,0.37,1,5.97,0.38,0.22,1.48,1.61,0.28,1.87,0.35,0,0,0.6,0.3,3.11,0.79,0.05,0.28
5,Boreal,0.35,0.81,5.75,0.38,0.18,1.35,1.59,0.27,1.66,0.34,0,0.76,0.61,0.27,2.47,0.88,0.05,0.69
6,TempFor,0.37,1,5.97,0.38,0.22,1.48,1.61,0.28,1.87,0.35,0,0,0.6,0.3,3.11,0.79,0.05,0.28
9,Crop,0.83,3.46,4.96,0.21,0.21,1.08,0.43,0.08,1.84,1.68,0,0,0.77,0.19,1.27,0.77,0.03,0.09
