Code,TREE,HERB
0,0,0
1,28930,437
2,19917,650
3,15653,541
4,19982,964
5,20339,766
6,5136,229
7,2889,169
8,12907,668
9,10907,764
10,2822,407
11,8509,712
12,0,902
13,0,0
14,9080,822
15,0,0
16,1355,104
