Fraction of NMOC for SAPRC99 mechanism for each GenVeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenVegIndex,EF_fuel_type,ACET,ALK1,ALK2,ALK3,ALK4,ALK5,ARO1,ARO2,BALD,CCHO,CCO_OH,ETHENE,HCHO,HCN,HCOOH,HONO,ISOPRENE,MEK,MEOH,METHACRO,MGLY,MVK,OLE1,OLE2,PHEN,PROD2,RCHO,TRP1
1,Savanna,0.22,1.25,0.92,0.04,0.07,0.06,1.11,0.03,0.02,1.03,2.08,2.27,2.11,1.01,0.65,0.38,0.05,1.87,1.91,0.00,0.80,0.22,0.72,0.20,0.44,0.22,0.60,0.01
2,Shrub,0.71,1.63,1.12,0.05,0.10,0.06,1.24,0.06,0.02,0.95,1.24,2.29,2.22,1.28,0.16,0.74,0.03,0.92,2.48,0.00,0.86,0.00,1.06,0.31,0.00,0.24,1.50,0.01
3,TropFor,0.40,1.40,0.51,0.04,0.04,0.03,1.86,0.08,0.12,1.31,1.93,1.42,2.14,0.58,0.45,0.76,0.07,1.20,2.68,0.08,0.38,0.20,0.83,0.19,0.18,0.23,1.47,0.04
4,TempFor,0.20,0.47,0.26,0.03,0.04,0.02,0.53,0.06,0.01,0.38,0.53,1.11,1.33,0.51,0.26,0.26,0.03,8.33,1.51,0.00,0.17,0.00,0.36,0.10,0.07,0.10,0.36,0.03
5,Boreal,0.20,1.84,0.34,0.05,0.06,0.03,1.18,0.10,0.01,0.67,1.80,1.61,1.45,2.48,0.57,0.70,0.14,2.25,2.49,0.00,0.27,0.00,0.93,0.16,0.84,0.16,0.37,0.04
6,TempFor,0.20,0.47,0.26,0.03,0.04,0.02,0.53,0.06,0.01,0.38,0.53,1.11,1.33,0.51,0.26,0.26,0.03,8.33,1.51,0.00,0.17,0.00,0.36,0.10,0.07,0.10,0.36,0.03
9,Crop,0.83,1.22,0.31,0.02,0.03,0.02,0.95,0.06,0.01,3.05,2.19,1.09,1.84,0.33,0.90,0.09,0.60,0.54,2.11,0.00,0.19,0.14,0.54,0.16,0.60,0.11,2.08,0.00
